# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 32
# Directivity [dBi]: 9.24
# Theta points: 401, Phi points: 401
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-56.7000; -180.0000; -0.1648; 0.981204; -180.0000
-56.2500; -180.0000; -0.1171; 0.986614; -180.0000
-55.8000; -180.0000; -0.0773; 0.991136; 180.0000
-55.3500; -180.0000; -0.0457; 0.994751; -180.0000
-54.9000; -180.0000; -0.0222; 0.997443; -180.0000
-54.4500; -180.0000; -0.0070; 0.999197; 180.0000
-54.0000; -180.0000; -0.0000; 1.000000; 180.0000
-53.5500; -180.0000; -0.0014; 0.999840; -180.0000
-53.1000; -180.0000; -0.0112; 0.998707; 180.0000
-52.6500; -180.0000; -0.0296; 0.996592; -180.0000
-52.2000; -180.0000; -0.0567; 0.993490; -180.0000
-51.7500; -180.0000; -0.0926; 0.989395; 180.0000
-51.3000; -180.0000; -0.1374; 0.984304; 180.0000
-50.8500; -180.0000; -0.1913; 0.978217; -180.0000
-50.4000; -180.0000; -0.2544; 0.971135; 180.0000
-49.9500; -180.0000; -0.3269; 0.963060; 180.0000
-49.5000; -180.0000; -0.4090; 0.953998; 180.0000
-49.0500; -180.0000; -0.5010; 0.943956; -180.0000
-48.6000; -180.0000; -0.6029; 0.932943; 180.0000
-48.1500; -180.0000; -0.7151; 0.920970; 180.0000
-47.7000; -180.0000; -0.8378; 0.908051; -180.0000
-47.2500; -180.0000; -0.9713; 0.894201; 180.0000
-46.8000; -180.0000; -1.1159; 0.879437; 180.0000
-46.3500; -180.0000; -1.2719; 0.863780; -180.0000
-45.9000; -180.0000; -1.4398; 0.847250; 180.0000
-45.4500; -180.0000; -1.6198; 0.829872; -180.0000
-45.0000; -180.0000; -1.8124; 0.811671; 180.0000
-44.5500; -180.0000; -2.0181; 0.792675; 180.0000
-44.1000; -180.0000; -2.2374; 0.772913; 180.0000
-43.6500; -180.0000; -2.4708; 0.752417; 180.0000
-43.2000; -180.0000; -2.7190; 0.731220; 180.0000
-42.7500; -180.0000; -2.9827; 0.709358; 180.0000
-42.3000; -180.0000; -3.2626; 0.686866; 180.0000
-41.8500; -180.0000; -3.5595; 0.663785; -180.0000
-41.4000; -180.0000; -3.8743; 0.640153; 180.0000
-40.9500; -180.0000; -4.2082; 0.616012; 180.0000
-40.5000; -180.0000; -4.5623; 0.591405; -180.0000
-40.0500; -180.0000; -4.9379; 0.566376; 180.0000
-39.6000; -180.0000; -5.3365; 0.540971; 180.0000
-39.1500; -180.0000; -5.7599; 0.515236; -180.0000
-38.7000; -180.0000; -6.2100; 0.489218; 180.0000
-38.2500; -180.0000; -6.6890; 0.462966; -180.0000
-37.8000; -180.0000; -7.1997; 0.436529; -180.0000
-37.3500; -180.0000; -7.7453; 0.409956; -180.0000
-36.9000; -180.0000; -8.3293; 0.383298; 180.0000
-36.4500; -180.0000; -8.9563; 0.356605; -180.0000
-36.0000; -180.0000; -9.6316; 0.329928; 180.0000
-35.5500; -180.0000; -10.3621; 0.303317; 180.0000
-35.1000; -180.0000; -11.1559; 0.276824; 180.0000
-34.6500; -180.0000; -12.0239; 0.250499; -180.0000
-34.2000; -180.0000; -12.9798; 0.224393; 180.0000
-33.7500; -180.0000; -14.0424; 0.198554; 180.0000
-33.3000; -180.0000; -15.2375; 0.173032; -180.0000
-32.8500; -180.0000; -16.6020; 0.147876; 180.0000
-32.4000; -180.0000; -18.1925; 0.123133; -180.0000
-31.9500; -180.0000; -20.1006; 0.098849; -180.0000
-31.5000; -180.0000; -22.4907; 0.075070; 180.0000
-31.0500; -180.0000; -25.7070; 0.051838; 180.0000
-30.6000; -180.0000; -30.6929; 0.029198; -180.0000
-30.1500; -180.0000; -42.8665; 0.007189; -180.0000
-29.7000; -180.0000; -36.9854; 0.014149; -0.0000
-29.2500; -180.0000; -29.1735; 0.034780; 0.0000
-28.8000; -180.0000; -25.2455; 0.054667; 0.0000
-28.3500; -180.0000; -22.6414; 0.073778; -0.0000
-27.9000; -180.0000; -20.7165; 0.092082; 0.0000
-27.4500; -180.0000; -19.2077; 0.109551; -0.0000
-27.0000; -180.0000; -17.9818; 0.126157; -0.0000
-26.5500; -180.0000; -16.9617; 0.141878; -0.0000
-26.1000; -180.0000; -16.0991; 0.156691; 0.0000
-25.6500; -180.0000; -15.3615; 0.170579; -0.0000
-25.2000; -180.0000; -14.7260; 0.183526; -0.0000
-24.7500; -180.0000; -14.1763; 0.195518; 0.0000
-24.3000; -180.0000; -13.6997; 0.206546; 0.0000
-23.8500; -180.0000; -13.2868; 0.216601; -0.0000
-23.4000; -180.0000; -12.9302; 0.225680; -0.0000
-22.9500; -180.0000; -12.6239; 0.233780; -0.0000
-22.5000; -180.0000; -12.3632; 0.240903; 0.0000
-22.0500; -180.0000; -12.1442; 0.247053; -0.0000
-21.6000; -180.0000; -11.9638; 0.252237; 0.0000
-21.1500; -180.0000; -11.8194; 0.256465; -0.0000
-20.7000; -180.0000; -11.7089; 0.259750; -0.0000
-20.2500; -180.0000; -11.6304; 0.262108; -0.0000
-19.8000; -180.0000; -11.5825; 0.263556; -0.0000
-19.3500; -180.0000; -11.5641; 0.264117; -0.0000
-18.9000; -180.0000; -11.5741; 0.263813; -0.0000
-18.4500; -180.0000; -11.6118; 0.262670; -0.0000
-18.0000; -180.0000; -11.6766; 0.260718; -0.0000
-17.5500; -180.0000; -11.7680; 0.257988; 0.0000
-17.1000; -180.0000; -11.8858; 0.254513; -0.0000
-16.6500; -180.0000; -12.0298; 0.250328; 0.0000
-16.2000; -180.0000; -12.2000; 0.245470; 0.0000
-15.7500; -180.0000; -12.3965; 0.239980; 0.0000
-15.3000; -180.0000; -12.6195; 0.233898; -0.0000
-14.8500; -180.0000; -12.8693; 0.227267; -0.0000
-14.4000; -180.0000; -13.1464; 0.220131; 0.0000
-13.9500; -180.0000; -13.4514; 0.212535; 0.0000
-13.5000; -180.0000; -13.7850; 0.204526; 0.0000
-13.0500; -180.0000; -14.1481; 0.196152; -0.0000
-12.6000; -180.0000; -14.5418; 0.187460; 0.0000
-12.1500; -180.0000; -14.9673; 0.178500; -0.0000
-11.7000; -180.0000; -15.4258; 0.169320; 0.0000
-11.2500; -180.0000; -15.9192; 0.159971; 0.0000
-10.8000; -180.0000; -16.4492; 0.150501; 0.0000
-10.3500; -180.0000; -17.0180; 0.140961; -0.0000
-9.9000; -180.0000; -17.6282; 0.131399; 0.0000
-9.4500; -180.0000; -18.2825; 0.121864; -0.0000
-9.0000; -180.0000; -18.9843; 0.112405; -0.0000
-8.5500; -180.0000; -19.7376; 0.103067; 0.0000
-8.1000; -180.0000; -20.5468; 0.093899; 0.0000
-7.6500; -180.0000; -21.4174; 0.084943; -0.0000
-7.2000; -180.0000; -22.3558; 0.076244; 0.0000
-6.7500; -180.0000; -23.3697; 0.067845; 0.0000
-6.3000; -180.0000; -24.4682; 0.059784; -0.0000
-5.8500; -180.0000; -25.6629; 0.052102; -0.0000
-5.4000; -180.0000; -26.9679; 0.044834; 0.0000
-4.9500; -180.0000; -28.4010; 0.038015; -0.0000
-4.5000; -180.0000; -29.9853; 0.031676; 0.0000
-4.0500; -180.0000; -31.7512; 0.025849; 0.0000
-3.6000; -180.0000; -33.7398; 0.020559; -0.0000
-3.1500; -180.0000; -36.0088; 0.015833; 0.0000
-2.7000; -180.0000; -38.6429; 0.011691; 0.0000
-2.2500; -180.0000; -41.7732; 0.008153; 0.0000
-1.8000; -180.0000; -45.6193; 0.005236; 0.0000
-1.3500; -180.0000; -50.5934; 0.002953; 0.0000
-0.9000; -180.0000; -57.6203; 0.001315; 0.0000
-0.4500; -180.0000; -69.6514; 0.000329; 0.0000
0.0000; -180.0000; -200.0000; 0.000000; 0.0000
0.4500; -180.0000; -69.6514; 0.000329; 0.0000
0.9000; -180.0000; -57.6203; 0.001315; 0.0000
1.3500; -180.0000; -50.5934; 0.002953; 0.0000
1.8000; -180.0000; -45.6193; 0.005236; 0.0000
2.2500; -180.0000; -41.7732; 0.008153; 0.0000
2.7000; -180.0000; -38.6429; 0.011691; 0.0000
3.1500; -180.0000; -36.0088; 0.015833; 0.0000
3.6000; -180.0000; -33.7398; 0.020559; 0.0000
4.0500; -180.0000; -31.7512; 0.025849; 0.0000
4.5000; -180.0000; -29.9853; 0.031676; 0.0000
4.9500; -180.0000; -28.4010; 0.038015; 0.0000
5.4000; -180.0000; -26.9679; 0.044834; 0.0000
5.8500; -180.0000; -25.6629; 0.052102; 0.0000
6.3000; -180.0000; -24.4682; 0.059784; 0.0000
6.7500; -180.0000; -23.3697; 0.067845; 0.0000
7.2000; -180.0000; -22.3558; 0.076244; 0.0000
7.6500; -180.0000; -21.4174; 0.084943; 0.0000
8.1000; -180.0000; -20.5468; 0.093899; 0.0000
8.5500; -180.0000; -19.7376; 0.103067; 0.0000
9.0000; -180.0000; -18.9843; 0.112405; 0.0000
9.4500; -180.0000; -18.2825; 0.121864; 0.0000
9.9000; -180.0000; -17.6282; 0.131399; 0.0000
10.3500; -180.0000; -17.0180; 0.140961; 0.0000
10.8000; -180.0000; -16.4492; 0.150501; 0.0000
11.2500; -180.0000; -15.9192; 0.159971; 0.0000
11.7000; -180.0000; -15.4258; 0.169320; 0.0000
12.1500; -180.0000; -14.9673; 0.178500; 0.0000
12.6000; -180.0000; -14.5418; 0.187460; 0.0000
13.0500; -180.0000; -14.1481; 0.196152; 0.0000
13.5000; -180.0000; -13.7850; 0.204526; 0.0000
13.9500; -180.0000; -13.4514; 0.212535; -0.0000
14.4000; -180.0000; -13.1464; 0.220131; 0.0000
14.8500; -180.0000; -12.8693; 0.227267; 0.0000
15.3000; -180.0000; -12.6195; 0.233898; 0.0000
15.7500; -180.0000; -12.3965; 0.239980; 0.0000
16.2000; -180.0000; -12.2000; 0.245470; -0.0000
16.6500; -180.0000; -12.0298; 0.250328; 0.0000
17.1000; -180.0000; -11.8858; 0.254513; 0.0000
17.5500; -180.0000; -11.7680; 0.257988; -0.0000
18.0000; -180.0000; -11.6766; 0.260718; -0.0000
18.4500; -180.0000; -11.6118; 0.262670; -0.0000
18.9000; -180.0000; -11.5741; 0.263813; 0.0000
19.3500; -180.0000; -11.5641; 0.264117; -0.0000
19.8000; -180.0000; -11.5825; 0.263556; -0.0000
20.2500; -180.0000; -11.6304; 0.262108; 0.0000
20.7000; -180.0000; -11.7089; 0.259750; 0.0000
21.1500; -180.0000; -11.8194; 0.256465; -0.0000
21.6000; -180.0000; -11.9638; 0.252237; -0.0000
22.0500; -180.0000; -12.1442; 0.247053; 0.0000
22.5000; -180.0000; -12.3632; 0.240903; -0.0000
22.9500; -180.0000; -12.6239; 0.233780; -0.0000
23.4000; -180.0000; -12.9302; 0.225680; -0.0000
23.8500; -180.0000; -13.2868; 0.216601; 0.0000
24.3000; -180.0000; -13.6997; 0.206546; -0.0000
24.7500; -180.0000; -14.1763; 0.195518; -0.0000
25.2000; -180.0000; -14.7260; 0.183526; -0.0000
25.6500; -180.0000; -15.3615; 0.170579; -0.0000
26.1000; -180.0000; -16.0991; 0.156691; -0.0000
26.5500; -180.0000; -16.9617; 0.141878; -0.0000
27.0000; -180.0000; -17.9818; 0.126157; -0.0000
27.4500; -180.0000; -19.2077; 0.109551; 0.0000
27.9000; -180.0000; -20.7165; 0.092082; -0.0000
28.3500; -180.0000; -22.6414; 0.073778; 0.0000
28.8000; -180.0000; -25.2455; 0.054667; -0.0000
29.2500; -180.0000; -29.1735; 0.034780; -0.0000
29.7000; -180.0000; -36.9854; 0.014149; 0.0000
30.1500; -180.0000; -42.8665; 0.007189; 180.0000
30.6000; -180.0000; -30.6929; 0.029198; -180.0000
31.0500; -180.0000; -25.7070; 0.051838; 180.0000
31.5000; -180.0000; -22.4907; 0.075070; -180.0000
31.9500; -180.0000; -20.1006; 0.098849; 180.0000
32.4000; -180.0000; -18.1925; 0.123133; 180.0000
32.8500; -180.0000; -16.6020; 0.147876; 180.0000
33.3000; -180.0000; -15.2375; 0.173032; 180.0000
33.7500; -180.0000; -14.0424; 0.198554; 180.0000
34.2000; -180.0000; -12.9798; 0.224393; 180.0000
34.6500; -180.0000; -12.0239; 0.250499; 180.0000
35.1000; -180.0000; -11.1559; 0.276824; -180.0000
35.5500; -180.0000; -10.3621; 0.303317; -180.0000
36.0000; -180.0000; -9.6316; 0.329928; -180.0000
36.4500; -180.0000; -8.9563; 0.356605; -180.0000
36.9000; -180.0000; -8.3293; 0.383298; -180.0000
37.3500; -180.0000; -7.7453; 0.409956; 180.0000
37.8000; -180.0000; -7.1997; 0.436529; 180.0000
38.2500; -180.0000; -6.6890; 0.462966; 180.0000
38.7000; -180.0000; -6.2100; 0.489218; 180.0000
39.1500; -180.0000; -5.7599; 0.515236; 180.0000
39.6000; -180.0000; -5.3365; 0.540971; 180.0000
40.0500; -180.0000; -4.9379; 0.566376; -180.0000
40.5000; -180.0000; -4.5623; 0.591405; 180.0000
40.9500; -180.0000; -4.2082; 0.616012; 180.0000
41.4000; -180.0000; -3.8743; 0.640153; 180.0000
41.8500; -180.0000; -3.5595; 0.663785; 180.0000
42.3000; -180.0000; -3.2626; 0.686866; 180.0000
42.7500; -180.0000; -2.9827; 0.709358; 180.0000
43.2000; -180.0000; -2.7190; 0.731220; 180.0000
43.6500; -180.0000; -2.4708; 0.752417; 180.0000
44.1000; -180.0000; -2.2374; 0.772913; 180.0000
44.5500; -180.0000; -2.0181; 0.792675; -180.0000
45.0000; -180.0000; -1.8124; 0.811671; 180.0000
45.4500; -180.0000; -1.6198; 0.829872; -180.0000
45.9000; -180.0000; -1.4398; 0.847250; -180.0000
46.3500; -180.0000; -1.2719; 0.863780; 180.0000
46.8000; -180.0000; -1.1159; 0.879437; -180.0000
47.2500; -180.0000; -0.9713; 0.894201; 180.0000
47.7000; -180.0000; -0.8378; 0.908051; -180.0000
48.1500; -180.0000; -0.7151; 0.920970; 180.0000
48.6000; -180.0000; -0.6029; 0.932943; -180.0000
49.0500; -180.0000; -0.5010; 0.943956; -180.0000
49.5000; -180.0000; -0.4090; 0.953998; -180.0000
49.9500; -180.0000; -0.3269; 0.963060; 180.0000
50.4000; -180.0000; -0.2544; 0.971135; 180.0000
50.8500; -180.0000; -0.1913; 0.978217; -180.0000
51.3000; -180.0000; -0.1374; 0.984304; 180.0000
51.7500; -180.0000; -0.0926; 0.989395; -180.0000
52.2000; -180.0000; -0.0567; 0.993490; -180.0000
52.6500; -180.0000; -0.0296; 0.996592; 180.0000
53.1000; -180.0000; -0.0112; 0.998707; 180.0000
53.5500; -180.0000; -0.0014; 0.999840; -180.0000
54.0000; -180.0000; -0.0000; 1.000000; 180.0000
54.4500; -180.0000; -0.0070; 0.999197; 180.0000
54.9000; -180.0000; -0.0222; 0.997443; -180.0000
55.3500; -180.0000; -0.0457; 0.994751; 180.0000
55.8000; -180.0000; -0.0773; 0.991136; 180.0000
56.2500; -180.0000; -0.1171; 0.986614; -180.0000
56.7000; -180.0000; -0.1648; 0.981204; 180.0000
57.1500; -180.0000; -0.2206; 0.974925; 180.0000
57.6000; -180.0000; -0.2843; 0.967797; 180.0000
58.0500; -180.0000; -0.3560; 0.959841; -180.0000
58.5000; -180.0000; -0.4356; 0.951082; -180.0000
58.9500; -180.0000; -0.5232; 0.941543; 180.0000
59.4000; -180.0000; -0.6187; 0.931249; 180.0000
59.8500; -180.0000; -0.7221; 0.920226; 180.0000
60.3000; -180.0000; -0.8335; 0.908500; -180.0000
60.7500; -180.0000; -0.9529; 0.896100; -180.0000
61.2000; -180.0000; -1.0802; 0.883055; -180.0000
61.6500; -180.0000; -1.2157; 0.869392; 180.0000
62.1000; -180.0000; -1.3592; 0.855142; 180.0000
62.5500; -180.0000; -1.5110; 0.840335; 180.0000
63.0000; -180.0000; -1.6709; 0.825001; 180.0000
63.4500; -180.0000; -1.8392; 0.809172; -180.0000
63.9000; -180.0000; -2.0159; 0.792879; -180.0000
64.3500; -180.0000; -2.2011; 0.776153; 180.0000
64.8000; -180.0000; -2.3949; 0.759026; -180.0000
65.2500; -180.0000; -2.5974; 0.741530; 180.0000
65.7000; -180.0000; -2.8089; 0.723698; -180.0000
66.1500; -180.0000; -3.0293; 0.705560; -180.0000
66.6000; -180.0000; -3.2590; 0.687150; 180.0000
67.0500; -180.0000; -3.4980; 0.668499; -180.0000
67.5000; -180.0000; -3.7466; 0.649638; 180.0000
67.9500; -180.0000; -4.0049; 0.630599; 180.0000
68.4000; -180.0000; -4.2733; 0.611414; -180.0000
68.8500; -180.0000; -4.5519; 0.592113; -180.0000
69.3000; -180.0000; -4.8410; 0.572728; 180.0000
69.7500; -180.0000; -5.1410; 0.553287; -180.0000
70.2000; -180.0000; -5.4521; 0.533823; -180.0000
70.6500; -180.0000; -5.7746; 0.514363; -180.0000
71.1000; -180.0000; -6.1090; 0.494936; 180.0000
71.5500; -180.0000; -6.4557; 0.475573; 180.0000
72.0000; -180.0000; -6.8150; 0.456299; -180.0000
72.4500; -180.0000; -7.1875; 0.437144; 180.0000
72.9000; -180.0000; -7.5737; 0.418133; -180.0000
73.3500; -180.0000; -7.9742; 0.399292; -180.0000
73.8000; -180.0000; -8.3895; 0.380649; 180.0000
74.2500; -180.0000; -8.8204; 0.362227; -180.0000
74.7000; -180.0000; -9.2676; 0.344051; -180.0000
75.1500; -180.0000; -9.7318; 0.326144; 180.0000
75.6000; -180.0000; -10.2141; 0.308530; 180.0000
76.0500; -180.0000; -10.7153; 0.291231; 180.0000
76.5000; -180.0000; -11.2365; 0.274268; 180.0000
76.9500; -180.0000; -11.7790; 0.257663; -180.0000
77.4000; -180.0000; -12.3440; 0.241435; 180.0000
77.8500; -180.0000; -12.9330; 0.225605; 180.0000
78.3000; -180.0000; -13.5477; 0.210191; -180.0000
78.7500; -180.0000; -14.1900; 0.195210; -180.0000
79.2000; -180.0000; -14.8618; 0.180681; 180.0000
79.6500; -180.0000; -15.5655; 0.166620; -180.0000
80.1000; -180.0000; -16.3038; 0.153042; -180.0000
80.5500; -180.0000; -17.0797; 0.139964; -180.0000
81.0000; -180.0000; -17.8967; 0.127398; 180.0000
81.4500; -180.0000; -18.7588; 0.115361; 180.0000
81.9000; -180.0000; -19.6708; 0.103863; 180.0000
82.3500; -180.0000; -20.6380; 0.092918; 180.0000
82.8000; -180.0000; -21.6670; 0.082537; -180.0000
83.2500; -180.0000; -22.7656; 0.072731; 180.0000
83.7000; -180.0000; -23.9431; 0.063510; -180.0000
84.1500; -180.0000; -25.2110; 0.054885; -180.0000
84.6000; -180.0000; -26.5834; 0.046863; -180.0000
85.0500; -180.0000; -28.0785; 0.039453; -180.0000
85.5000; -180.0000; -29.7191; 0.032662; -180.0000
85.9500; -180.0000; -31.5359; 0.026498; -180.0000
86.4000; -180.0000; -33.5699; 0.020966; 180.0000
86.8500; -180.0000; -35.8789; 0.016072; -180.0000
87.3000; -180.0000; -38.5475; 0.011820; 180.0000
87.7500; -180.0000; -41.7070; 0.008216; 180.0000
88.2000; -180.0000; -45.5770; 0.005262; 180.0000
88.6500; -180.0000; -50.5696; 0.002962; -180.0000
89.1000; -180.0000; -57.6097; 0.001317; -180.0000
89.5500; -180.0000; -69.6488; 0.000329; -180.0000
90.0000; -180.0000; -200.0000; 0.000000; 180.0000
-90.0000; -179.1000; -57.6203; 0.001315; -180.0000
-89.5500; -179.1000; -55.6829; 0.001644; 180.0000
-89.1000; -179.1000; -51.6029; 0.002629; 180.0000
-88.6500; -179.1000; -47.3895; 0.004271; 180.0000
-88.2000; -179.1000; -43.6528; 0.006567; 180.0000
-87.7500; -179.1000; -40.4318; 0.009515; -180.0000
-87.3000; -179.1000; -37.6464; 0.013112; 180.0000
-86.8500; -179.1000; -35.2113; 0.017355; 180.0000
-86.4000; -179.1000; -33.0573; 0.022240; 180.0000
-85.9500; -179.1000; -31.1312; 0.027761; -180.0000
-85.5000; -179.1000; -29.3925; 0.033914; -180.0000
-85.0500; -179.1000; -27.8100; 0.040691; 180.0000
-84.6000; -179.1000; -26.3595; 0.048087; -180.0000
-84.1500; -179.1000; -25.0218; 0.056093; 180.0000
-83.7000; -179.1000; -23.7816; 0.064702; -180.0000
-83.2500; -179.1000; -22.6266; 0.073905; -180.0000
-82.8000; -179.1000; -21.5464; 0.083692; -180.0000
-82.3500; -179.1000; -20.5326; 0.094052; 180.0000
-81.9000; -179.1000; -19.5782; 0.104976; 180.0000
-81.4500; -179.1000; -18.6771; 0.116452; -180.0000
-81.0000; -179.1000; -17.8242; 0.128466; 180.0000
-80.5500; -179.1000; -17.0152; 0.141007; 180.0000
-80.1000; -179.1000; -16.2462; 0.154060; -180.0000
-79.6500; -179.1000; -15.5139; 0.167612; -180.0000
-79.2000; -179.1000; -14.8155; 0.181646; -180.0000
-78.7500; -179.1000; -14.1484; 0.196147; 180.0000
-78.3000; -179.1000; -13.5103; 0.211099; -180.0000
-77.8500; -179.1000; -12.8993; 0.226483; -180.0000
-77.4000; -179.1000; -12.3135; 0.242283; -180.0000
-76.9500; -179.1000; -11.7515; 0.258480; -180.0000
-76.5000; -179.1000; -11.2117; 0.275053; -180.0000
-76.0500; -179.1000; -10.6928; 0.291983; 180.0000
-75.6000; -179.1000; -10.1938; 0.309249; 180.0000
-75.1500; -179.1000; -9.7136; 0.326829; -180.0000
-74.7000; -179.1000; -9.2511; 0.344702; 180.0000
-74.2500; -179.1000; -8.8056; 0.362843; 180.0000
-73.8000; -179.1000; -8.3763; 0.381230; -180.0000
-73.3500; -179.1000; -7.9623; 0.399838; 180.0000
-72.9000; -179.1000; -7.5632; 0.418642; 180.0000
-72.4500; -179.1000; -7.1781; 0.437616; 180.0000
-72.0000; -179.1000; -6.8067; 0.456735; 180.0000
-71.5500; -179.1000; -6.4484; 0.475972; -180.0000
-71.1000; -179.1000; -6.1027; 0.495299; -180.0000
-70.6500; -179.1000; -5.7691; 0.514688; 180.0000
-70.2000; -179.1000; -5.4474; 0.534111; -180.0000
-69.7500; -179.1000; -5.1370; 0.553538; 180.0000
-69.3000; -179.1000; -4.8378; 0.572941; -180.0000
-68.8500; -179.1000; -4.5493; 0.592290; 180.0000
-68.4000; -179.1000; -4.2713; 0.611554; 180.0000
-67.9500; -179.1000; -4.0035; 0.630702; -180.0000
-67.5000; -179.1000; -3.7457; 0.649704; -180.0000
-67.0500; -179.1000; -3.4976; 0.668529; 180.0000
-66.6000; -179.1000; -3.2590; 0.687144; -180.0000
-66.1500; -179.1000; -3.0298; 0.705519; -180.0000
-65.7000; -179.1000; -2.8098; 0.723622; 180.0000
-65.2500; -179.1000; -2.5987; 0.741419; -180.0000
-64.8000; -179.1000; -2.3965; 0.758881; 180.0000
-64.3500; -179.1000; -2.2031; 0.775974; 180.0000
-63.9000; -179.1000; -2.0182; 0.792667; 180.0000
-63.4500; -179.1000; -1.8418; 0.808928; -180.0000
-63.0000; -179.1000; -1.6738; 0.824726; 180.0000
-62.5500; -179.1000; -1.5141; 0.840029; 180.0000
-62.1000; -179.1000; -1.3626; 0.854806; 180.0000
-61.6500; -179.1000; -1.2193; 0.869027; -180.0000
