# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 32
# Directivity [dBi]: 9.24
# Theta points: 401, Phi points: 401
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-90.0000; -180.0000; -200.0000; 0.000000; 180.0000
-89.5500; -180.0000; -69.6488; 0.000329; 180.0000
-89.1000; -180.0000; -57.6097; 0.001317; 180.0000
-88.6500; -180.0000; -50.5696; 0.002962; -180.0000
-88.2000; -180.0000; -45.5770; 0.005262; 180.0000
-87.7500; -180.0000; -41.7070; 0.008216; -180.0000
-87.3000; -180.0000; -38.5475; 0.011820; 180.0000
-86.8500; -180.0000; -35.8789; 0.016072; 180.0000
-86.4000; -180.0000; -33.5699; 0.020966; -180.0000
-85.9500; -180.0000; -31.5359; 0.026498; -180.0000
-85.5000; -180.0000; -29.7191; 0.032662; -180.0000
-85.0500; -180.0000; -28.0785; 0.039453; 180.0000
-84.6000; -180.0000; -26.5834; 0.046863; 180.0000
-84.1500; -180.0000; -25.2110; 0.054885; -180.0000
-83.7000; -180.0000; -23.9431; 0.063510; -180.0000
-83.2500; -180.0000; -22.7656; 0.072731; -180.0000
-82.8000; -180.0000; -21.6670; 0.082537; 180.0000
-82.3500; -180.0000; -20.6380; 0.092918; -180.0000
-81.9000; -180.0000; -19.6708; 0.103863; -180.0000
-81.4500; -180.0000; -18.7588; 0.115361; -180.0000
-81.0000; -180.0000; -17.8967; 0.127398; 180.0000
-80.5500; -180.0000; -17.0797; 0.139964; -180.0000
-80.1000; -180.0000; -16.3038; 0.153042; 180.0000
-79.6500; -180.0000; -15.5655; 0.166620; -180.0000
-79.2000; -180.0000; -14.8618; 0.180681; 180.0000
-78.7500; -180.0000; -14.1900; 0.195210; -180.0000
-78.3000; -180.0000; -13.5477; 0.210191; 180.0000
-77.8500; -180.0000; -12.9330; 0.225605; 180.0000
-77.4000; -180.0000; -12.3440; 0.241435; -180.0000
-76.9500; -180.0000; -11.7790; 0.257663; 180.0000
-76.5000; -180.0000; -11.2365; 0.274268; 180.0000
-76.0500; -180.0000; -10.7153; 0.291231; 180.0000
-75.6000; -180.0000; -10.2141; 0.308530; -180.0000
-75.1500; -180.0000; -9.7318; 0.326144; -180.0000
-74.7000; -180.0000; -9.2676; 0.344051; -180.0000
-74.2500; -180.0000; -8.8204; 0.362227; 180.0000
-73.8000; -180.0000; -8.3895; 0.380649; -180.0000
-73.3500; -180.0000; -7.9742; 0.399292; -180.0000
-72.9000; -180.0000; -7.5737; 0.418133; -180.0000
-72.4500; -180.0000; -7.1875; 0.437144; 180.0000
-72.0000; -180.0000; -6.8150; 0.456299; 180.0000
-71.5500; -180.0000; -6.4557; 0.475573; 180.0000
-71.1000; -180.0000; -6.1090; 0.494936; -180.0000
-70.6500; -180.0000; -5.7746; 0.514363; 180.0000
-70.2000; -180.0000; -5.4521; 0.533823; -180.0000
-69.7500; -180.0000; -5.1410; 0.553287; 180.0000
-69.3000; -180.0000; -4.8410; 0.572728; 180.0000
-68.8500; -180.0000; -4.5519; 0.592113; -180.0000
-68.4000; -180.0000; -4.2733; 0.611414; 180.0000
-67.9500; -180.0000; -4.0049; 0.630599; -180.0000
-67.5000; -180.0000; -3.7466; 0.649638; -180.0000
-67.0500; -180.0000; -3.4980; 0.668499; 180.0000
-66.6000; -180.0000; -3.2590; 0.687150; 180.0000
-66.1500; -180.0000; -3.0293; 0.705560; -180.0000
-65.7000; -180.0000; -2.8089; 0.723698; 180.0000
-65.2500; -180.0000; -2.5974; 0.741530; 180.0000
-64.8000; -180.0000; -2.3949; 0.759026; 180.0000
-64.3500; -180.0000; -2.2011; 0.776153; -180.0000
-63.9000; -180.0000; -2.0159; 0.792879; -180.0000
-63.4500; -180.0000; -1.8392; 0.809172; -180.0000
-63.0000; -180.0000; -1.6709; 0.825001; 180.0000
-62.5500; -180.0000; -1.5110; 0.840335; -180.0000
-62.1000; -180.0000; -1.3592; 0.855142; -180.0000
-61.6500; -180.0000; -1.2157; 0.869392; -180.0000
-61.2000; -180.0000; -1.0802; 0.883055; 180.0000
-60.7500; -180.0000; -0.9529; 0.896100; 180.0000
-60.3000; -180.0000; -0.8335; 0.908500; -180.0000
-59.8500; -180.0000; -0.7221; 0.920226; -180.0000
-59.4000; -180.0000; -0.6187; 0.931249; 180.0000
-58.9500; -180.0000; -0.5232; 0.941543; 180.0000
-58.5000; -180.0000; -0.4356; 0.951082; -180.0000
-58.0500; -180.0000; -0.3560; 0.959841; 180.0000
-57.6000; -180.0000; -0.2843; 0.967797; 180.0000
-57.1500; -180.0000; -0.2206; 0.974925; 180.0000
