# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 8
# Directivity [dBi]: 6.81
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-71.4600; 0.0000; -19.9515; 0.316258; 175.3041
-71.2800; 0.0000; -19.8746; 0.316112; 175.0493
-71.1000; 0.0000; -19.7988; 0.315954; 174.7923
-70.9200; 0.0000; -19.7242; 0.315785; 174.5331
-70.7400; 0.0000; -19.6507; 0.315603; 174.2718
-70.5600; 0.0000; -19.5783; 0.315410; 174.0083
-70.3800; 0.0000; -19.5071; 0.315204; 173.7427
-70.2000; 0.0000; -19.4369; 0.314985; 173.4749
-70.0200; 0.0000; -19.3679; 0.314753; 173.2049
-69.8400; 0.0000; -19.3000; 0.314508; 172.9329
-69.6600; 0.0000; -19.2331; 0.314250; 172.6586
-69.4800; 0.0000; -19.1674; 0.313977; 172.3822
-69.3000; 0.0000; -19.1028; 0.313691; 172.1036
-69.1200; 0.0000; -19.0393; 0.313390; 171.8229
-68.9400; 0.0000; -18.9768; 0.313074; 171.5400
-68.7600; 0.0000; -18.9154; 0.312744; 171.2550
-68.5800; 0.0000; -18.8552; 0.312398; 170.9678
-68.4000; 0.0000; -18.7960; 0.312037; 170.6784
-68.2200; 0.0000; -18.7379; 0.311660; 170.3868
-68.0400; 0.0000; -18.6809; 0.311267; 170.0931
-67.8600; 0.0000; -18.6249; 0.310858; 169.7972
-67.6800; 0.0000; -18.5701; 0.310432; 169.4990
-67.5000; 0.0000; -18.5163; 0.309989; 169.1987
-67.3200; 0.0000; -18.4636; 0.309529; 168.8962
-67.1400; 0.0000; -18.4120; 0.309052; 168.5915
-66.9600; 0.0000; -18.3615; 0.308557; 168.2845
-66.7800; 0.0000; -18.3120; 0.308044; 167.9754
-66.6000; 0.0000; -18.2637; 0.307513; 167.6640
-66.4200; 0.0000; -18.2164; 0.306964; 167.3503
-66.2400; 0.0000; -18.1703; 0.306396; 167.0345
-66.0600; 0.0000; -18.1252; 0.305809; 166.7163
-65.8800; 0.0000; -18.0812; 0.305202; 166.3959
-65.7000; 0.0000; -18.0384; 0.304576; 166.0731
-65.5200; 0.0000; -17.9966; 0.303931; 165.7481
-65.3400; 0.0000; -17.9560; 0.303265; 165.4208
-65.1600; 0.0000; -17.9165; 0.302579; 165.0911
-64.9800; 0.0000; -17.8780; 0.301873; 164.7591
-64.8000; 0.0000; -17.8408; 0.301146; 164.4248
-64.6200; 0.0000; -17.8046; 0.300398; 164.0880
-64.4400; 0.0000; -17.7696; 0.299629; 163.7489
-64.2600; 0.0000; -17.7357; 0.298838; 163.4074
-64.0800; 0.0000; -17.7030; 0.298026; 163.0634
-63.9000; 0.0000; -17.6714; 0.297192; 162.7170
-63.7200; 0.0000; -17.6410; 0.296335; 162.3681
-63.5400; 0.0000; -17.6118; 0.295457; 162.0167
-63.3600; 0.0000; -17.5837; 0.294555; 161.6628
-63.1800; 0.0000; -17.5568; 0.293631; 161.3063
-63.0000; 0.0000; -17.5311; 0.292684; 160.9473
-62.8200; 0.0000; -17.5066; 0.291714; 160.5857
-62.6400; 0.0000; -17.4833; 0.290721; 160.2214
-62.4600; 0.0000; -17.4612; 0.289704; 159.8545
-62.2800; 0.0000; -17.4403; 0.288663; 159.4850
-62.1000; 0.0000; -17.4206; 0.287599; 159.1126
-61.9200; 0.0000; -17.4022; 0.286510; 158.7376
-61.7400; 0.0000; -17.3851; 0.285397; 158.3597
-61.5600; 0.0000; -17.3692; 0.284260; 157.9791
-61.3800; 0.0000; -17.3546; 0.283099; 157.5955
-61.2000; 0.0000; -17.3412; 0.281912; 157.2091
-61.0200; 0.0000; -17.3292; 0.280701; 156.8197
