# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 8
# Directivity [dBi]: 6.81
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-9.3600; 0.0000; -2.1162; 0.794350; 19.3425
-9.1800; 0.0000; -2.0342; 0.801469; 19.0164
-9.0000; 0.0000; -1.9540; 0.808503; 18.6873
-8.8200; 0.0000; -1.8754; 0.815448; 18.3553
-8.6400; 0.0000; -1.7985; 0.822302; 18.0205
-8.4600; 0.0000; -1.7233; 0.829062; 17.6830
-8.2800; 0.0000; -1.6497; 0.835725; 17.3428
-8.1000; 0.0000; -1.5779; 0.842289; 17.0001
-7.9200; 0.0000; -1.5076; 0.848750; 16.6549
-7.7400; 0.0000; -1.4391; 0.855107; 16.3073
-7.5600; 0.0000; -1.3722; 0.861357; 15.9574
-7.3800; 0.0000; -1.3069; 0.867496; 15.6052
-7.2000; 0.0000; -1.2433; 0.873523; 15.2509
-7.0200; 0.0000; -1.1813; 0.879435; 14.8945
-6.8400; 0.0000; -1.1209; 0.885230; 14.5360
-6.6600; 0.0000; -1.0622; 0.890906; 14.1756
-6.4800; 0.0000; -1.0051; 0.896459; 13.8134
-6.3000; 0.0000; -0.9496; 0.901888; 13.4493
-6.1200; 0.0000; -0.8957; 0.907191; 13.0835
-5.9400; 0.0000; -0.8434; 0.912365; 12.7159
-5.7600; 0.0000; -0.7927; 0.917408; 12.3468
-5.5800; 0.0000; -0.7436; 0.922319; 11.9761
-5.4000; 0.0000; -0.6962; 0.927094; 11.6039
-5.2200; 0.0000; -0.6503; 0.931733; 11.2302
-5.0400; 0.0000; -0.6060; 0.936233; 10.8552
-4.8600; 0.0000; -0.5633; 0.940592; 10.4788
-4.6800; 0.0000; -0.5221; 0.944809; 10.1012
-4.5000; 0.0000; -0.4826; 0.948882; 9.7223
-4.3200; 0.0000; -0.4446; 0.952809; 9.3423
-4.1400; 0.0000; -0.4082; 0.956588; 8.9611
-3.9600; 0.0000; -0.3734; 0.960219; 8.5789
-3.7800; 0.0000; -0.3401; 0.963698; 8.1957
-3.6000; 0.0000; -0.3084; 0.967026; 7.8116
-3.4200; 0.0000; -0.2783; 0.970201; 7.4265
-3.2400; 0.0000; -0.2497; 0.973220; 7.0405
-3.0600; 0.0000; -0.2227; 0.976084; 6.6538
-2.8800; 0.0000; -0.1972; 0.978790; 6.2663
-2.7000; 0.0000; -0.1733; 0.981338; 5.8780
-2.5200; 0.0000; -0.1509; 0.983727; 5.4892
-2.3400; 0.0000; -0.1301; 0.985956; 5.0996
-2.1600; 0.0000; -0.1108; 0.988023; 4.7096
-1.9800; 0.0000; -0.0931; 0.989928; 4.3189
-1.8000; 0.0000; -0.0769; 0.991670; 3.9278
-1.6200; 0.0000; -0.0623; 0.993248; 3.5363
-1.4400; 0.0000; -0.0492; 0.994662; 3.1444
-1.2600; 0.0000; -0.0377; 0.995911; 2.7521
-1.0800; 0.0000; -0.0277; 0.996994; 2.3595
-0.9000; 0.0000; -0.0192; 0.997912; 1.9666
-0.7200; 0.0000; -0.0123; 0.998663; 1.5736
-0.5400; 0.0000; -0.0069; 0.999248; 1.1803
-0.3600; 0.0000; -0.0031; 0.999666; 0.7870
-0.1800; 0.0000; -0.0008; 0.999916; 0.3935
0.0000; 0.0000; 0.0000; 1.000000; 0.0000
0.1800; 0.0000; -0.0008; 0.999916; -0.3935
0.3600; 0.0000; -0.0031; 0.999666; -0.7870
0.5400; 0.0000; -0.0069; 0.999248; -1.1803
0.7200; 0.0000; -0.0123; 0.998663; -1.5736
0.9000; 0.0000; -0.0192; 0.997912; -1.9666
1.0800; 0.0000; -0.0277; 0.996994; -2.3595
1.2600; 0.0000; -0.0377; 0.995911; -2.7521
1.4400; 0.0000; -0.0492; 0.994662; -3.1444
1.6200; 0.0000; -0.0623; 0.993248; -3.5363
1.8000; 0.0000; -0.0769; 0.991670; -3.9278
1.9800; 0.0000; -0.0931; 0.989928; -4.3189
2.1600; 0.0000; -0.1108; 0.988023; -4.7096
2.3400; 0.0000; -0.1301; 0.985956; -5.0996
2.5200; 0.0000; -0.1509; 0.983727; -5.4892
2.7000; 0.0000; -0.1733; 0.981338; -5.8780
2.8800; 0.0000; -0.1972; 0.978790; -6.2663
3.0600; 0.0000; -0.2227; 0.976084; -6.6538
3.2400; 0.0000; -0.2497; 0.973220; -7.0405
3.4200; 0.0000; -0.2783; 0.970201; -7.4265
3.6000; 0.0000; -0.3084; 0.967026; -7.8116
3.7800; 0.0000; -0.3401; 0.963698; -8.1957
3.9600; 0.0000; -0.3734; 0.960219; -8.5789
4.1400; 0.0000; -0.4082; 0.956588; -8.9611
4.3200; 0.0000; -0.4446; 0.952809; -9.3423
4.5000; 0.0000; -0.4826; 0.948882; -9.7223
4.6800; 0.0000; -0.5221; 0.944809; -10.1012
4.8600; 0.0000; -0.5633; 0.940592; -10.4788
5.0400; 0.0000; -0.6060; 0.936233; -10.8552
5.2200; 0.0000; -0.6503; 0.931733; -11.2302
5.4000; 0.0000; -0.6962; 0.927094; -11.6039
5.5800; 0.0000; -0.7436; 0.922319; -11.9761
5.7600; 0.0000; -0.7927; 0.917408; -12.3468
5.9400; 0.0000; -0.8434; 0.912365; -12.7159
6.1200; 0.0000; -0.8957; 0.907191; -13.0835
6.3000; 0.0000; -0.9496; 0.901888; -13.4493
6.4800; 0.0000; -1.0051; 0.896459; -13.8134
6.6600; 0.0000; -1.0622; 0.890906; -14.1756
6.8400; 0.0000; -1.1209; 0.885230; -14.5360
7.0200; 0.0000; -1.1813; 0.879435; -14.8945
7.2000; 0.0000; -1.2433; 0.873523; -15.2509
7.3800; 0.0000; -1.3069; 0.867496; -15.6052
7.5600; 0.0000; -1.3722; 0.861357; -15.9574
7.7400; 0.0000; -1.4391; 0.855107; -16.3073
7.9200; 0.0000; -1.5076; 0.848750; -16.6549
8.1000; 0.0000; -1.5779; 0.842289; -17.0001
8.2800; 0.0000; -1.6497; 0.835725; -17.3428
8.4600; 0.0000; -1.7233; 0.829062; -17.6830
8.6400; 0.0000; -1.7985; 0.822302; -18.0205
8.8200; 0.0000; -1.8754; 0.815448; -18.3553
9.0000; 0.0000; -1.9540; 0.808503; -18.6873
9.1800; 0.0000; -2.0342; 0.801469; -19.0164
9.3600; 0.0000; -2.1162; 0.794350; -19.3425
9.5400; 0.0000; -2.1998; 0.787148; -19.6655
9.7200; 0.0000; -2.2852; 0.779865; -19.9852
9.9000; 0.0000; -2.3723; 0.772506; -20.3017
10.0800; 0.0000; -2.4611; 0.765073; -20.6148
10.2600; 0.0000; -2.5516; 0.757569; -20.9243
10.4400; 0.0000; -2.6438; 0.749996; -21.2302
10.6200; 0.0000; -2.7378; 0.742359; -21.5324
10.8000; 0.0000; -2.8335; 0.734659; -21.8307
10.9800; 0.0000; -2.9310; 0.726901; -22.1250
11.1600; 0.0000; -3.0302; 0.719086; -22.4153
11.3400; 0.0000; -3.1312; 0.711219; -22.7012
11.5200; 0.0000; -3.2339; 0.703302; -22.9829
11.7000; 0.0000; -3.3384; 0.695338; -23.2599
11.8800; 0.0000; -3.4447; 0.687331; -23.5324
12.0600; 0.0000; -3.5528; 0.679284; -23.8000
12.2400; 0.0000; -3.6627; 0.671199; -24.0627
12.4200; 0.0000; -3.7744; 0.663080; -24.3203
12.6000; 0.0000; -3.8878; 0.654931; -24.5726
12.7800; 0.0000; -4.0031; 0.646754; -24.8195
12.9600; 0.0000; -4.1202; 0.638552; -25.0608
13.1400; 0.0000; -4.2391; 0.630329; -25.2963
13.3200; 0.0000; -4.3598; 0.622089; -25.5258
13.5000; 0.0000; -4.4824; 0.613833; -25.7491
13.6800; 0.0000; -4.6067; 0.605566; -25.9661
13.8600; 0.0000; -4.7329; 0.597290; -26.1766
14.0400; 0.0000; -4.8610; 0.589009; -26.3803
14.2200; 0.0000; -4.9909; 0.580726; -26.5770
14.4000; 0.0000; -5.1226; 0.572445; -26.7665
14.5800; 0.0000; -5.2561; 0.564168; -26.9486
14.7600; 0.0000; -5.3916; 0.555898; -27.1230
14.9400; 0.0000; -5.5288; 0.547639; -27.2895
15.1200; 0.0000; -5.6679; 0.539395; -27.4478
15.3000; 0.0000; -5.8088; 0.531167; -27.5977
15.4800; 0.0000; -5.9516; 0.522960; -27.7389
15.6600; 0.0000; -6.0962; 0.514777; -27.8712
15.8400; 0.0000; -6.2426; 0.506620; -27.9941
16.0200; 0.0000; -6.3909; 0.498493; -28.1076
16.2000; 0.0000; -6.5409; 0.490399; -28.2111
16.3800; 0.0000; -6.6928; 0.482342; -28.3045
16.5600; 0.0000; -6.8465; 0.474323; -28.3874
16.7400; 0.0000; -7.0019; 0.466347; -28.4595
16.9200; 0.0000; -7.1592; 0.458417; -28.5204
17.1000; 0.0000; -7.3182; 0.450535; -28.5698
17.2800; 0.0000; -7.4789; 0.442704; -28.6073
17.4600; 0.0000; -7.6413; 0.434928; -28.6325
17.6400; 0.0000; -7.8055; 0.427210; -28.6451
17.8200; 0.0000; -7.9713; 0.419553; -28.6447
18.0000; 0.0000; -8.1388; 0.411960; -28.6309
18.1800; 0.0000; -8.3079; 0.404433; -28.6033
18.3600; 0.0000; -8.4785; 0.396976; -28.5614
18.5400; 0.0000; -8.6507; 0.389591; -28.5049
18.7200; 0.0000; -8.8244; 0.382282; -28.4333
18.9000; 0.0000; -8.9996; 0.375052; -28.3462
19.0800; 0.0000; -9.1761; 0.367902; -28.2432
19.2600; 0.0000; -9.3540; 0.360837; -28.1237
19.4400; 0.0000; -9.5333; 0.353859; -27.9875
19.6200; 0.0000; -9.7137; 0.346970; -27.8340
19.8000; 0.0000; -9.8953; 0.340174; -27.6627
19.9800; 0.0000; -10.0780; 0.333473; -27.4733
20.1600; 0.0000; -10.2617; 0.326869; -27.2653
20.3400; 0.0000; -10.4463; 0.320367; -27.0383
20.5200; 0.0000; -10.6317; 0.313967; -26.7918
20.7000; 0.0000; -10.8179; 0.307672; -26.5255
20.8800; 0.0000; -11.0047; 0.301486; -26.2390
21.0600; 0.0000; -11.1919; 0.295410; -25.9319
21.2400; 0.0000; -11.3796; 0.289447; -25.6039
21.4200; 0.0000; -11.5676; 0.283599; -25.2546
21.6000; 0.0000; -11.7556; 0.277869; -24.8838
21.7800; 0.0000; -11.9437; 0.272257; -24.4912
21.9600; 0.0000; -12.1316; 0.266767; -24.0767
22.1400; 0.0000; -12.3191; 0.261401; -23.6400
22.3200; 0.0000; -12.5062; 0.256160; -23.1812
22.5000; 0.0000; -12.6927; 0.251045; -22.7001
22.6800; 0.0000; -12.8782; 0.246059; -22.1968
22.8600; 0.0000; -13.0628; 0.241203; -21.6714
23.0400; 0.0000; -13.2462; 0.236479; -21.1241
23.2200; 0.0000; -13.4282; 0.231886; -20.5551
23.4000; 0.0000; -13.6086; 0.227427; -19.9649
23.5800; 0.0000; -13.7872; 0.223103; -19.3539
23.7600; 0.0000; -13.9639; 0.218913; -18.7227
23.9400; 0.0000; -14.1383; 0.214858; -18.0719
24.1200; 0.0000; -14.3104; 0.210938; -17.4023
24.3000; 0.0000; -14.4799; 0.207154; -16.7147
24.4800; 0.0000; -14.6467; 0.203504; -16.0103
24.6600; 0.0000; -14.8105; 0.199989; -15.2901
24.8400; 0.0000; -14.9712; 0.196607; -14.5554
25.0200; 0.0000; -15.1286; 0.193358; -13.8074
25.2000; 0.0000; -15.2826; 0.190240; -13.0477
25.3800; 0.0000; -15.4331; 0.187252; -12.2778
25.5600; 0.0000; -15.5798; 0.184391; -11.4993
25.7400; 0.0000; -15.7227; 0.181656; -10.7139
25.9200; 0.0000; -15.8617; 0.179043; -9.9235
26.1000; 0.0000; -15.9968; 0.176551; -9.1299
26.2800; 0.0000; -16.1278; 0.174176; -8.3351
26.4600; 0.0000; -16.2549; 0.171915; -7.5409
26.6400; 0.0000; -16.3778; 0.169765; -6.7494
26.8200; 0.0000; -16.4968; 0.167722; -5.9625
27.0000; 0.0000; -16.6117; 0.165781; -5.1823
27.1800; 0.0000; -16.7227; 0.163939; -4.4107
27.3600; 0.0000; -16.8298; 0.162192; -3.6497
27.5400; 0.0000; -16.9332; 0.160535; -2.9011
27.7200; 0.0000; -17.0329; 0.158963; -2.1668
27.9000; 0.0000; -17.1292; 0.157473; -1.4485
28.0800; 0.0000; -17.2220; 0.156058; -0.7480
28.2600; 0.0000; -17.3117; 0.154715; -0.0668
28.4400; 0.0000; -17.3984; 0.153438; 0.5935
28.6200; 0.0000; -17.4823; 0.152223; 1.2315
28.8000; 0.0000; -17.5636; 0.151065; 1.8458
28.9800; 0.0000; -17.6425; 0.149959; 2.4353
29.1600; 0.0000; -17.7192; 0.148901; 2.9989
29.3400; 0.0000; -17.7939; 0.147885; 3.5355
29.5200; 0.0000; -17.8669; 0.146907; 4.0441
29.7000; 0.0000; -17.9384; 0.145963; 4.5241
29.8800; 0.0000; -18.0086; 0.145049; 4.9745
30.0600; 0.0000; -18.0777; 0.144160; 5.3949
30.2400; 0.0000; -18.1460; 0.143292; 5.7846
30.4200; 0.0000; -18.2137; 0.142442; 6.1432
30.6000; 0.0000; -18.2809; 0.141605; 6.4702
30.7800; 0.0000; -18.3480; 0.140779; 6.7653
30.9600; 0.0000; -18.4150; 0.139959; 7.0282
31.1400; 0.0000; -18.4822; 0.139143; 7.2585
31.3200; 0.0000; -18.5498; 0.138328; 7.4562
31.5000; 0.0000; -18.6180; 0.137510; 7.6211
31.6800; 0.0000; -18.6869; 0.136688; 7.7529
31.8600; 0.0000; -18.7567; 0.135858; 7.8516
32.0400; 0.0000; -18.8275; 0.135019; 7.9171
32.2200; 0.0000; -18.8995; 0.134168; 7.9492
32.4000; 0.0000; -18.9729; 0.133304; 7.9480
32.5800; 0.0000; -19.0477; 0.132426; 7.9131
32.7600; 0.0000; -19.1242; 0.131530; 7.8447
32.9400; 0.0000; -19.2023; 0.130617; 7.7425
33.1200; 0.0000; -19.2823; 0.129684; 7.6064
33.3000; 0.0000; -19.3642; 0.128732; 7.4362
33.4800; 0.0000; -19.4481; 0.127758; 7.2319
33.6600; 0.0000; -19.5341; 0.126763; 6.9931
33.8400; 0.0000; -19.6223; 0.125746; 6.7196
34.0200; 0.0000; -19.7127; 0.124707; 6.4112
34.2000; 0.0000; -19.8055; 0.123646; 6.0676
34.3800; 0.0000; -19.9005; 0.122562; 5.6883
34.5600; 0.0000; -19.9980; 0.121456; 5.2729
34.7400; 0.0000; -20.0980; 0.120327; 4.8211
34.9200; 0.0000; -20.2003; 0.119178; 4.3322
35.1000; 0.0000; -20.3052; 0.118007; 3.8058
35.2800; 0.0000; -20.4125; 0.116817; 3.2412
35.4600; 0.0000; -20.5223; 0.115607; 2.6377
35.6400; 0.0000; -20.6345; 0.114380; 1.9947
35.8200; 0.0000; -20.7491; 0.113135; 1.3113
36.0000; 0.0000; -20.8661; 0.111876; 0.5866
36.1800; 0.0000; -20.9854; 0.110603; -0.1801
36.3600; 0.0000; -21.1070; 0.109317; -0.9900
36.5400; 0.0000; -21.2307; 0.108022; -1.8440
36.7200; 0.0000; -21.3564; 0.106719; -2.7433
36.9000; 0.0000; -21.4840; 0.105410; -3.6888
37.0800; 0.0000; -21.6133; 0.104098; -4.6818
37.2600; 0.0000; -21.7442; 0.102786; -5.7236
37.4400; 0.0000; -21.8765; 0.101475; -6.8152
37.6200; 0.0000; -22.0099; 0.100170; -7.9581
37.8000; 0.0000; -22.1442; 0.098873; -9.1533
37.9800; 0.0000; -22.2791; 0.097588; -10.4022
38.1600; 0.0000; -22.4142; 0.096318; -11.7060
38.3400; 0.0000; -22.5493; 0.095067; -13.0658
38.5200; 0.0000; -22.6839; 0.093839; -14.4827
38.7000; 0.0000; -22.8175; 0.092638; -15.9576
38.8800; 0.0000; -22.9498; 0.091468; -17.4914
39.0600; 0.0000; -23.0802; 0.090335; -19.0847
39.2400; 0.0000; -23.2082; 0.089241; -20.7378
39.4200; 0.0000; -23.3332; 0.088193; -22.4510
39.6000; 0.0000; -23.4546; 0.087195; -24.2241
39.7800; 0.0000; -23.5717; 0.086251; -26.0566
39.9600; 0.0000; -23.6840; 0.085368; -27.9476
40.1400; 0.0000; -23.7906; 0.084549; -29.8958
40.3200; 0.0000; -23.8910; 0.083800; -31.8993
40.5000; 0.0000; -23.9843; 0.083126; -33.9558
40.6800; 0.0000; -24.0701; 0.082532; -36.0624
40.8600; 0.0000; -24.1475; 0.082021; -38.2159
41.0400; 0.0000; -24.2159; 0.081599; -40.4121
41.2200; 0.0000; -24.2749; 0.081270; -42.6468
41.4000; 0.0000; -24.3238; 0.081037; -44.9148
41.5800; 0.0000; -24.3623; 0.080903; -47.2109
41.7600; 0.0000; -24.3900; 0.080872; -49.5293
41.9400; 0.0000; -24.4066; 0.080945; -51.8639
42.1200; 0.0000; -24.4119; 0.081125; -54.2085
42.3000; 0.0000; -24.4059; 0.081412; -56.5568
42.4800; 0.0000; -24.3887; 0.081807; -58.9024
42.6600; 0.0000; -24.3605; 0.082312; -61.2390
42.8400; 0.0000; -24.3213; 0.082923; -63.5608
43.0200; 0.0000; -24.2718; 0.083642; -65.8620
43.2000; 0.0000; -24.2121; 0.084467; -68.1373
43.3800; 0.0000; -24.1430; 0.085394; -70.3819
43.5600; 0.0000; -24.0648; 0.086423; -72.5914
43.7400; 0.0000; -23.9783; 0.087550; -74.7620
43.9200; 0.0000; -23.8841; 0.088772; -76.8905
44.1000; 0.0000; -23.7829; 0.090085; -78.9741
44.2800; 0.0000; -23.6753; 0.091487; -81.0106
44.4600; 0.0000; -23.5620; 0.092973; -82.9985
44.6400; 0.0000; -23.4437; 0.094540; -84.9364
44.8200; 0.0000; -23.3211; 0.096184; -86.8238
45.0000; 0.0000; -23.1947; 0.097900; -88.6602
45.1800; 0.0000; -23.0651; 0.099685; -90.4456
45.3600; 0.0000; -22.9330; 0.101534; -92.1804
45.5400; 0.0000; -22.7988; 0.103444; -93.8653
45.7200; 0.0000; -22.6631; 0.105412; -95.5009
45.9000; 0.0000; -22.5262; 0.107432; -97.0884
46.0800; 0.0000; -22.3887; 0.109503; -98.6288
46.2600; 0.0000; -22.2508; 0.111619; -100.1234
46.4400; 0.0000; -22.1130; 0.113778; -101.5737
46.6200; 0.0000; -21.9755; 0.115977; -102.9810
46.8000; 0.0000; -21.8387; 0.118212; -104.3468
46.9800; 0.0000; -21.7028; 0.120480; -105.6726
47.1600; 0.0000; -21.5679; 0.122779; -106.9599
47.3400; 0.0000; -21.4344; 0.125106; -108.2101
47.5200; 0.0000; -21.3024; 0.127457; -109.4248
47.7000; 0.0000; -21.1720; 0.129831; -110.6053
47.8800; 0.0000; -21.0434; 0.132225; -111.7532
48.0600; 0.0000; -20.9167; 0.134636; -112.8697
48.2400; 0.0000; -20.7919; 0.137063; -113.9563
48.4200; 0.0000; -20.6693; 0.139504; -115.0142
48.6000; 0.0000; -20.5488; 0.141955; -116.0445
48.7800; 0.0000; -20.4306; 0.144417; -117.0487
48.9600; 0.0000; -20.3146; 0.146886; -118.0277
49.1400; 0.0000; -20.2009; 0.149360; -118.9827
49.3200; 0.0000; -20.0896; 0.151839; -119.9147
49.5000; 0.0000; -19.9806; 0.154321; -120.8247
49.6800; 0.0000; -19.8741; 0.156803; -121.7138
49.8600; 0.0000; -19.7699; 0.159286; -122.5827
50.0400; 0.0000; -19.6681; 0.161766; -123.4324
50.2200; 0.0000; -19.5688; 0.164244; -124.2636
50.4000; 0.0000; -19.4718; 0.166717; -125.0773
50.5800; 0.0000; -19.3773; 0.169184; -125.8741
50.7600; 0.0000; -19.2852; 0.171645; -126.6547
50.9400; 0.0000; -19.1954; 0.174099; -127.4198
51.1200; 0.0000; -19.1081; 0.176543; -128.1701
51.3000; 0.0000; -19.0230; 0.178978; -128.9061
51.4800; 0.0000; -18.9404; 0.181402; -129.6285
51.6600; 0.0000; -18.8600; 0.183814; -130.3378
51.8400; 0.0000; -18.7820; 0.186214; -131.0345
52.0200; 0.0000; -18.7062; 0.188600; -131.7191
52.2000; 0.0000; -18.6327; 0.190972; -132.3920
52.3800; 0.0000; -18.5614; 0.193329; -133.0539
52.5600; 0.0000; -18.4924; 0.195671; -133.7049
52.7400; 0.0000; -18.4255; 0.197996; -134.3456
52.9200; 0.0000; -18.3609; 0.200305; -134.9764
53.1000; 0.0000; -18.2983; 0.202595; -135.5976
53.2800; 0.0000; -18.2379; 0.204868; -136.2095
53.4600; 0.0000; -18.1795; 0.207122; -136.8125
53.6400; 0.0000; -18.1233; 0.209356; -137.4069
53.8200; 0.0000; -18.0691; 0.211571; -137.9931
54.0000; 0.0000; -18.0169; 0.213765; -138.5712
54.1800; 0.0000; -17.9667; 0.215939; -139.1415
54.3600; 0.0000; -17.9185; 0.218092; -139.7044
54.5400; 0.0000; -17.8722; 0.220223; -140.2601
54.7200; 0.0000; -17.8278; 0.222332; -140.8087
54.9000; 0.0000; -17.7854; 0.224419; -141.3506
55.0800; 0.0000; -17.7448; 0.226483; -141.8858
55.2600; 0.0000; -17.7061; 0.228524; -142.4148
55.4400; 0.0000; -17.6692; 0.230542; -142.9375
55.6200; 0.0000; -17.6341; 0.232536; -143.4543
55.8000; 0.0000; -17.6009; 0.234507; -143.9652
55.9800; 0.0000; -17.5694; 0.236454; -144.4705
56.1600; 0.0000; -17.5396; 0.238376; -144.9703
56.3400; 0.0000; -17.5116; 0.240274; -145.4648
56.5200; 0.0000; -17.4852; 0.242147; -145.9541
56.7000; 0.0000; -17.4606; 0.243995; -146.4384
56.8800; 0.0000; -17.4376; 0.245818; -146.9177
57.0600; 0.0000; -17.4163; 0.247616; -147.3922
57.2400; 0.0000; -17.3966; 0.249389; -147.8621
57.4200; 0.0000; -17.3785; 0.251137; -148.3275
57.6000; 0.0000; -17.3620; 0.252859; -148.7883
57.7800; 0.0000; -17.3470; 0.254555; -149.2449
57.9600; 0.0000; -17.3336; 0.256226; -149.6972
58.1400; 0.0000; -17.3218; 0.257871; -150.1455
58.3200; 0.0000; -17.3115; 0.259491; -150.5896
58.5000; 0.0000; -17.3027; 0.261084; -151.0298
58.6800; 0.0000; -17.2954; 0.262652; -151.4662
58.8600; 0.0000; -17.2895; 0.264194; -151.8987
59.0400; 0.0000; -17.2851; 0.265711; -152.3276
59.2200; 0.0000; -17.2822; 0.267201; -152.7528
59.4000; 0.0000; -17.2807; 0.268666; -153.1745
59.5800; 0.0000; -17.2806; 0.270105; -153.5927
59.7600; 0.0000; -17.2819; 0.271519; -154.0074
59.9400; 0.0000; -17.2846; 0.272907; -154.4188
60.1200; 0.0000; -17.2887; 0.274269; -154.8269
60.3000; 0.0000; -17.2941; 0.275606; -155.2317
60.4800; 0.0000; -17.3009; 0.276917; -155.6334
60.6600; 0.0000; -17.3090; 0.278204; -156.0319
60.8400; 0.0000; -17.3184; 0.279465; -156.4273
61.0200; 0.0000; -17.3292; 0.280701; -156.8197
61.2000; 0.0000; -17.3412; 0.281912; -157.2091
61.3800; 0.0000; -17.3546; 0.283099; -157.5955
61.5600; 0.0000; -17.3692; 0.284260; -157.9791
61.7400; 0.0000; -17.3851; 0.285397; -158.3597
61.9200; 0.0000; -17.4022; 0.286510; -158.7376
62.1000; 0.0000; -17.4206; 0.287599; -159.1126
62.2800; 0.0000; -17.4403; 0.288663; -159.4850
62.4600; 0.0000; -17.4612; 0.289704; -159.8545
62.6400; 0.0000; -17.4833; 0.290721; -160.2214
62.8200; 0.0000; -17.5066; 0.291714; -160.5857
63.0000; 0.0000; -17.5311; 0.292684; -160.9473
63.1800; 0.0000; -17.5568; 0.293631; -161.3063
63.3600; 0.0000; -17.5837; 0.294555; -161.6628
63.5400; 0.0000; -17.6118; 0.295457; -162.0167
63.7200; 0.0000; -17.6410; 0.296335; -162.3681
63.9000; 0.0000; -17.6714; 0.297192; -162.7170
64.0800; 0.0000; -17.7030; 0.298026; -163.0634
64.2600; 0.0000; -17.7357; 0.298838; -163.4074
64.4400; 0.0000; -17.7696; 0.299629; -163.7489
64.6200; 0.0000; -17.8046; 0.300398; -164.0880
64.8000; 0.0000; -17.8408; 0.301146; -164.4248
64.9800; 0.0000; -17.8780; 0.301873; -164.7591
65.1600; 0.0000; -17.9165; 0.302579; -165.0911
65.3400; 0.0000; -17.9560; 0.303265; -165.4208
65.5200; 0.0000; -17.9966; 0.303931; -165.7481
65.7000; 0.0000; -18.0384; 0.304576; -166.0731
65.8800; 0.0000; -18.0812; 0.305202; -166.3959
66.0600; 0.0000; -18.1252; 0.305809; -166.7163
66.2400; 0.0000; -18.1703; 0.306396; -167.0345
66.4200; 0.0000; -18.2164; 0.306964; -167.3503
66.6000; 0.0000; -18.2637; 0.307513; -167.6640
66.7800; 0.0000; -18.3120; 0.308044; -167.9754
66.9600; 0.0000; -18.3615; 0.308557; -168.2845
67.1400; 0.0000; -18.4120; 0.309052; -168.5915
67.3200; 0.0000; -18.4636; 0.309529; -168.8962
67.5000; 0.0000; -18.5163; 0.309989; -169.1987
67.6800; 0.0000; -18.5701; 0.310432; -169.4990
67.8600; 0.0000; -18.6249; 0.310858; -169.7972
68.0400; 0.0000; -18.6809; 0.311267; -170.0931
68.2200; 0.0000; -18.7379; 0.311660; -170.3868
68.4000; 0.0000; -18.7960; 0.312037; -170.6784
68.5800; 0.0000; -18.8552; 0.312398; -170.9678
68.7600; 0.0000; -18.9154; 0.312744; -171.2550
68.9400; 0.0000; -18.9768; 0.313074; -171.5400
69.1200; 0.0000; -19.0393; 0.313390; -171.8229
69.3000; 0.0000; -19.1028; 0.313691; -172.1036
69.4800; 0.0000; -19.1674; 0.313977; -172.3822
69.6600; 0.0000; -19.2331; 0.314250; -172.6586
69.8400; 0.0000; -19.3000; 0.314508; -172.9329
70.0200; 0.0000; -19.3679; 0.314753; -173.2049
70.2000; 0.0000; -19.4369; 0.314985; -173.4749
70.3800; 0.0000; -19.5071; 0.315204; -173.7427
70.5600; 0.0000; -19.5783; 0.315410; -174.0083
70.7400; 0.0000; -19.6507; 0.315603; -174.2718
70.9200; 0.0000; -19.7242; 0.315785; -174.5331
71.1000; 0.0000; -19.7988; 0.315954; -174.7923
71.2800; 0.0000; -19.8746; 0.316112; -175.0493
71.4600; 0.0000; -19.9515; 0.316258; -175.3041
71.6400; 0.0000; -20.0296; 0.316393; -175.5568
71.8200; 0.0000; -20.1089; 0.316518; -175.8073
72.0000; 0.0000; -20.1893; 0.316631; -176.0557
72.1800; 0.0000; -20.2709; 0.316735; -176.3019
72.3600; 0.0000; -20.3537; 0.316828; -176.5459
72.5400; 0.0000; -20.4377; 0.316912; -176.7877
72.7200; 0.0000; -20.5229; 0.316986; -177.0274
72.9000; 0.0000; -20.6093; 0.317050; -177.2649
73.0800; 0.0000; -20.6970; 0.317106; -177.5002
73.2600; 0.0000; -20.7859; 0.317153; -177.7333
73.4400; 0.0000; -20.8761; 0.317191; -177.9642
73.6200; 0.0000; -20.9676; 0.317221; -178.1929
73.8000; 0.0000; -21.0603; 0.317243; -178.4194
73.9800; 0.0000; -21.1544; 0.317258; -178.6437
74.1600; 0.0000; -21.2498; 0.317264; -178.8658
74.3400; 0.0000; -21.3466; 0.317264; -179.0857
74.5200; 0.0000; -21.4448; 0.317256; -179.3033
74.7000; 0.0000; -21.5443; 0.317242; -179.5188
74.8800; 0.0000; -21.6452; 0.317221; -179.7319
75.0600; 0.0000; -21.7476; 0.317193; -179.9429
75.2400; 0.0000; -21.8514; 0.317160; 179.8484
75.4200; 0.0000; -21.9568; 0.317120; 179.6420
75.6000; 0.0000; -22.0636; 0.317075; 179.4378
75.7800; 0.0000; -22.1719; 0.317025; 179.2359
75.9600; 0.0000; -22.2819; 0.316969; 179.0363
76.1400; 0.0000; -22.3934; 0.316908; 178.8389
76.3200; 0.0000; -22.5065; 0.316843; 178.6439
